category,skill

Programming,Java
Programming,Python
Programming,C
Programming,C++
Programming,C#
Programming,JavaScript
Programming,TypeScript
Programming,PHP
Programming,Rust
Programming,Kotlin
Programming,Swift

Frontend,HTML
Frontend,CSS
Frontend,Bootstrap
Frontend,React
Frontend,Angular
Frontend,Vue.js

Backend,Node.js
Backend,Express.js
Backend,Spring
Backend,Spring Boot
Backend,Hibernate
Backend,REST API
Backend,GraphQL
Backend,Microservices
Backend,Tomcat
Backend,Nginx

Database,MySQL
Database,PostgreSQL
Database,MongoDB
Database,Redis
Database,Firebase

Cloud,AWS
Cloud,Azure
Cloud,GCP

DevOps,Docker
DevOps,Kubernetes
DevOps,Jenkins
DevOps,Maven
DevOps,Gradle
DevOps,Apache Kafka
DevOps,RabbitMQ
DevOps,Linux
DevOps,Unix

Version_Control,Git
Version_Control,GitHub
Version_Control,GitLab

Testing,JUnit
Testing,Selenium

Data_Science,Pandas
Data_Science,NumPy
Data_Science,Statistics
Data_Science,Data Mining
Data_Science,Feature Engineering
Data_Science,Feature Selection
Data_Science,Data Visualization
Data_Science,Predictive Analytics
Data_Science,Time Series Analysis
Data_Science,ETL
Data_Science,Big Data
Data_Science,Tableau
Data_Science,Power BI
Data_Science,Data Engineering
Data_Science,Spark
Data_Science,Hadoop

Machine_Learning,Machine Learning
Machine_Learning,Scikit-Learn
Machine_Learning,Classification
Machine_Learning,Regression
Machine_Learning,Clustering
Machine_Learning,XGBoost
Machine_Learning,LightGBM
Machine_Learning,CatBoost

Deep_Learning,Deep Learning
Deep_Learning,TensorFlow
Deep_Learning,PyTorch
Deep_Learning,Keras
Deep_Learning,Neural Networks
Deep_Learning,CNN
Deep_Learning,RNN
Deep_Learning,Transformers

Artificial_Intelligence,NLP
Artificial_Intelligence,Computer Vision
Artificial_Intelligence,Reinforcement Learning
Artificial_Intelligence,Generative AI
Artificial_Intelligence,LLM
Artificial_Intelligence,Prompt Engineering
Artificial_Intelligence,OpenCV

MLOps,Model Deployment
MLOps,MLOps
Marketing,Digital Marketing
Marketing,SEO
Marketing,SEM
Marketing,Google Ads
Marketing,Google Analytics
Marketing,Content Marketing
Marketing,Email Marketing
Marketing,Affiliate Marketing
Marketing,Brand Management
Marketing,Market Research
Marketing,Lead Generation
Marketing,CRM
